Nama sentra;Kode sentra;Alamat;Kecamatan;Kelurahan;Luas sentra (m2);Kapasitas;Jumlah pelaku usaha;Okupansi sentra (%);Jumlah pelaku usaha yang omzetnya lebih dari 1 juta rupiah;Persentase pelaku usaha yang omzetnya lebih dari 1 juta rupiah
SWK Kendung;;Jl. raya Kendung;BENOWO;SEMEMI;213.63;9;7;0.7777777777777778;5;0.7142857142857143
SWK Ketabang;;Jl. Inspeksi Ketabang Kali;GENTENG;EMBONG KALIASIN;569.30 ;38;38;1;38;1
SWK Babat Jerawat;;Jl. Raya Babat Jerawat;PAKAL;BABAT JERAWAT;1412;28;27;0.9642857142857143;27;1
SWK Balas Klumprik;;Jl. Balas Klumprik;WIYUNG;BALAS KLUMPRIK;560;15;11;0.7333333333333333;6;0.5454545454545454
SWK Bentul;;Jl. Bentul;WONOKROMO;JAGIR;227.5 ;20;20;1;14;0.7
SWK Bratang Binangun;;Jl. Raya Manyar No. 80A;GUBENG;BARATAJAYA;2000;52;46;0.8846153846153846;41;0.8913043478260869
SWK Convention Hall;;Jl. Arief Rahman Hakim No.131-133. Keputih. Kec. Sukolilo. Kota SBY. Jawa Timur 60111;SUKOLILO;GEBANG PUTIH;960;40;37;0.925;20;0.5405405405405406
SWK Deles Merr;;Arif Rahman Hakim No.14 Kelurahan Klampis Ngasem;SUKOLILO;KLAMPIS NGASEM;890;36;31;0.8611111111111112;25;0.8064516129032258
SWK Dharmahusada;;Pojok Timur. Jl. Dharmahusada. Mulyorejo. Kec. Mulyorejo. Kota SBY. Jawa Timur 60285;GUBENG;MOJO;350;21;34;1.619.047.619.047.610;32;0.9411764705882353
SWK Dharmawangsa;;Jl. Raya Dharmawangsa;GUBENG;AIRLANGGA;500;26;25;0.9615384615384616;25;1
SWK Dukuh menanggal;;Jl. Dukuh Menanggal No.1A. Dukuh Menanggal. Kec. Gayungan. Kota SBY. Jawa Timur 60234;GAYUNGAN;DUKUH MENANGGAL;547.27;31;11;0.3548387096774194;11;1
SWK Embong Sawo;;Jl. Embongkaliasin;GENTENG;EMBONG KALIASIN;220;11;11;1;10;0.9090909090909091
SWK Gayungan;;Jl. Dukuh Menanggal No.1A. Dukuh Menanggal. Kec. Gayungan. Kota SBY. Jawa Timur 60234;GAYUNGAN;GAYUNGAN;945.75 ;32;25;0.78125;20;0.8
SWK Gunung Anyar;;Jl. Gunung Anyar Sawah;GUNUNG ANYAR;GUNUNG ANYAR;510;32;16;0.5;11;0.6875
SWK Indrapura;;Jl. Indrapura No.1. Krembangan Sel.. Kec. Krembangan. Kota SBY. Jawa Timur 60175;KREMBANGAN;KREMBANGAN SELATAN;630;34;21;0.6176470588235294;16;0.7619047619047619
SWK Jajar Tunggal;;Jalan Wiyung. Raya Menganti Kramat. Jajar Tunggal. Kec. Wiyung. Kota SBY. Jawa Timur 60228;WIYUNG;JAJARTUNGGAL;341.86 ;19;17;0.8947368421052632;9;0.5294117647058824
SWK Jambangan;;Jl. Raya Kebonsari Tengah;JAMBANGAN;JAMBANGAN;861.60 ;29;22;0.7586206896551724;17;0.7727272727272727
SWK Kandangan;;Jl. Raya Tengger;BENOWO;KANDANGAN;1270;17;17;1;6;0.35294117647058826
SWK Kapas Krampung;;Jl. Karang Asem;TAMBAKSARI;PLOSO;1480;57;18;0.3157894736842105;15;0.8333333333333334
SWK Karah;;Jl. Karah Kebon Agung No. 1;JAMBANGAN;KARAH;1092;38;35;0.9210526315789473;20;0.5714285714285714
SWK Kasuari;;Jl. Kasuari;KREMBANGAN;KREMBANGAN UTARA;387.60  ;20;19;0.95;16;0.8421052631578947
SWK Kembang Kuning;;Jl. Kembang Kuning;SAWAHAN;PAKIS;180;21;16;0.7619047619047619;11;0.6875
SWK Klampis Ngasem;;Jl. Dr. Ir. H. Soekarno. Klampis Ngasem. Kec. Sukolilo. Kota SBY. Jawa Timur 60117;SUKOLILO;KLAMPIS NGASEM;387;20;18;0.9;5;0.2777777777777778
SWK Krembangan;;Jl. Gresik;KREMBANGAN;KREMBANGAN SELATAN;296.20 ;24;22;0.9166666666666666;21;0.9545454545454546
SWK Lidah kulon;;Jl. Raya Lidah Kulon No. 5;LAKARSANTRI;LIDAH KULON;430;17;15;0.8823529411764706;9;0.6
SWK Lidah Wetan;;Jl.Raya Menganti;LAKARSANTRI;LIDAH WETAN;504;18;15;0.8333333333333334;10;0.6666666666666666
SWK Manukan lor;;Jl. Manukan Lor IV;TANDES;BANJAR SUGIHAN;482.98 ;31;14;0.45161290322580644;10;0.7142857142857143
SWK Mulyorejo;;Jl. Suterejo;MULYOREJO;MULYOREJO;624;40;31;0.775;16;0.5161290322580645
SWK Pegirian;;JL. Pegirian;SEMAMPIR;AMPEL;940.80 ;128;106;0.828125;82;0.7735849056603774
SWK Penjaringan Sari;;Jl. Raya Pandugo;RUNGKUT;PENJARINGAN SARI;611.11 ;26;28;10.769.230.769.230.700;10;0.35714285714285715
SWK Pondok Maritim;;Jl. Pondok Maritim;WIYUNG;BALAS KLUMPRIK;687.05 ;34;10;0.29411764705882354;9;0.9
SWK Putro Agung;;Jl. Alun-Alun Rangkah;TAMBAKSARI;RANGKAH;387.60 ;35;35;1;30;0.8571428571428571
SWK RMI;;Jl. Ngagel Jaya Selatan;GUBENG;BARATAJAYA;660;68;54;0.7941176470588235;49;0.9074074074074074
